bike,div_rank,gender_rank,overall_rank,run,swim,name
04:51:20,194,985,1144,04:34:02,01:04:47,"Jaros, Zbysek 1298"
05:17:30,19,123,1016,04:02:47,00:58:09,"Woollacott, Lucy 1596"
04:48:54,184,947,1096,04:25:05,01:10:59,"Egretzberger, Rainer 1340"
05:23:12,243,1353,1767,05:09:20,01:22:29,"Belcher, Mark 962"
05:20:10,8,59,738,03:22:02,01:09:37,"Bowker, Kayla 2320"
04:49:59,25,651,704,03:57:11,01:01:45,"Stoffel, Richard 682"
07:05:46,19,1599,2203,05:59:54,01:54:41,"Smith, Donald 158"
04:39:10,46,206,224,03:21:51,01:07:13,"Casado, Alejandro 1648"
05:46:08,61,366,1655,04:40:42,01:09:10,"Brannigan, Jessica 1905"
06:44:04,4,1395,1847,03:59:45,01:37:55,"Ratacheski, Diogo 116"
05:43:25,7,173,1187,03:43:30,01:09:57,"Lawson, Anna 2445"
04:46:21,78,338,367,03:42:39,00:53:30,"Wibowo, Andy 1710"
05:06:03,63,918,1056,04:08:33,01:07:24,"van Heerebeek, freek 797"
05:52:53,67,476,1893,05:35:02,01:08:54,"Robinson, Mary 2193"
06:48:07,41,561,2096,05:44:44,01:37:44,"Herrmann, Antje 574"
04:48:10,98,370,399,03:36:12,01:00:47,"Junod, Joël 2076"
--:--:--,--,--,--,--:--:--,--:--:--,"Azevedo Jr, Roberto 195"
05:01:36,4,623,672,03:47:48,00:56:24,"Tuttle, John 421"
05:35:08,33,1184,1466,04:19:05,01:12:24,"Lim, Chee Yong 2412"
05:58:35,9,1349,1760,04:15:57,01:43:11,"Marin Sospedra, Jose 209"
06:19:54,39,1409,1871,04:29:05,01:35:31,"Hauser, David 2409"
05:08:55,96,1052,1246,04:11:55,01:13:53,"Mullaney, David 2462"
05:14:10,113,1114,1350,04:26:08,01:10:13,"Loveridge, Robert 764"
07:01:31,56,1524,2081,05:13:16,01:45:47,"Ando, Yoshiro 321"
05:07:45,25,140,1059,04:09:08,01:06:01,"Hopkin, Andrea 1552"
05:16:52,200,1098,1326,04:28:20,00:59:17,"Im Brahm, Carsten 1115"
05:16:38,88,1014,1186,04:04:47,01:13:00,"Douaud, Lionel 738"
05:01:51,175,999,1160,04:19:35,01:10:26,"Devliegere, Stefaan 1095"
06:50:28,202,1597,2197,06:31:52,01:37:59,"Mienteh, Chong 794"
08:40:01,--,--,--,--:--:--,01:26:08,"Lang, Brian 990"
05:03:14,142,689,751,03:37:03,01:13:19,"Gatzoubaros, Matthew 2028"
06:35:44,185,1490,2019,05:39:41,01:11:48,"Woolgar, Keith 716"
--:--:--,--,--,--,--:--:--,--:--:--,"Kessler, Gary 238"
05:24:46,--,--,--,--:--:--,01:19:58,"Cerize, Juliana 1536"
05:21:39,11,82,846,03:31:42,01:10:10,"Nadeau, Laura 1890"
05:53:36,60,1208,1510,03:45:02,01:29:15,"masera, christian 505"
06:12:44,68,506,1977,05:48:28,01:10:35,"Earley, Melissa 1204"
04:51:16,139,595,639,03:33:07,01:16:19,"Achten, Guy 1711"
04:59:22,36,161,176,03:00:41,01:03:46,"Silva, Samuel 1861"
05:47:43,61,435,1812,04:51:45,01:31:11,"Niederau, Annette 1228"
05:00:51,103,593,637,03:29:15,01:09:39,"Meth, Hendrik 1491"
04:48:15,73,321,347,03:23:44,01:08:59,"Sacré, Pieter 1856"
04:45:16,19,175,192,03:27:20,00:53:28,"Santiago, Carlos 2233"
04:46:29,116,647,698,03:52:00,01:10:40,"Yost, Gentry 1329"
07:41:55,127,1635,2260,06:19:28,01:41:27,"Roma, Ken 520"
06:20:36,53,388,1710,04:14:57,01:13:10,"Shinagawa, Takako 1232"
--:--:--,--,--,--,--:--:--,01:41:40,"Hetzer, Laura 383"
05:41:15,48,259,1412,04:05:34,01:10:58,"Knezevic, Ursela 2155"
04:52:01,11,11,122,02:59:26,01:05:04,"Piampiano, Sarah 3017"
04:56:33,102,586,630,03:53:12,00:53:12,"Arcoverde Ribeiro Costa, Tarik 1257"
04:36:23,11,76,82,03:09:35,01:00:29,"Leitner, Stefan 1732"
04:39:09,5,185,203,03:29:51,00:56:42,"Gualtieri, Francesco 2408"
05:37:03,238,1326,1721,04:28:43,01:40:04,"Drewitz, Ralf 1098"
05:43:53,17,197,1254,03:53:54,01:05:28,"Rudolf, Michaela 1191"
07:29:09,36,610,2222,06:19:50,01:28:25,"Ljung, Carina 386"
04:58:21,193,1061,1261,04:34:45,01:03:53,"Schneeberger, Federico 938"
04:38:36,49,475,508,04:00:38,00:53:48,"Niederau, Dirk 926"
05:34:30,134,1222,1535,04:29:55,01:08:39,"Peron, Lucien 778"
05:22:49,17,120,1008,03:27:02,01:28:01,"Macdonald, Ailsa 1920"
04:41:34,32,146,159,03:14:25,01:04:49,"Ronaszeki, Balazs 1689"
06:40:52,259,1551,2123,05:48:05,01:38:16,"Wu, Wenhui 1528"
05:10:07,8,749,825,03:41:29,01:09:41,"Contant, Dan 489"
05:11:38,39,755,831,03:50:56,00:58:05,"Potter, John-John 632"
05:36:09,16,332,1581,04:38:51,01:10:41,"Nagle, Melinda 814"
05:13:18,155,853,953,03:58:42,01:03:20,"Cao, Junyu 2017"
06:56:59,278,1612,2220,06:52:59,01:24:59,"Azurtza, Todor 1087"
04:53:03,66,445,477,03:34:01,01:03:34,"Verhaert, Sebastiaan 1431"
04:49:38,47,396,427,03:36:52,01:00:42,"Weigel, Benjamin 2269"
--:--:--,--,--,--,--:--:--,--:--:--,"Angelastri, Sandro 290"
06:07:24,5,1422,1903,05:15:32,01:14:54,"Renato Machado Gomes, Luiz 176"
05:13:22,155,815,903,03:33:46,01:21:24,"Lindholm, Tommi 1486"
06:28:19,226,1557,2130,06:26:32,01:24:32,"Faucheaux, Blair 1817"
06:00:37,49,425,1798,04:52:46,01:11:00,"Jukes, Lucinda 2372"
07:11:09,6,559,2088,05:21:57,01:22:54,"Toth, Jean 254"
05:38:12,231,1273,1628,04:34:57,01:17:27,"Snead, Christopher 1517"
05:20:51,2,121,1012,03:50:27,01:07:40,"Timewell, Yvonne 868"
04:57:16,36,263,285,03:16:16,01:00:19,"Lopez Palenzuela, Jorge 1410"
05:08:47,205,1047,1241,04:29:41,01:00:00,"Schulze, Sven 1513"
05:20:25,15,81,845,03:34:53,01:11:19,"Gouws, Eulali 2170"
06:13:37,59,315,1542,03:52:20,01:10:05,"Perez, Tatum 1607"
05:14:57,34,1065,1268,04:22:43,01:01:52,"Harris, Darryl 432"
05:14:32,230,1254,1588,05:02:28,01:08:15,"Mariotte, Christophe 993"
05:34:04,230,1260,1597,04:18:58,01:33:57,"Simsuangco, Noriel 1370"
06:43:20,91,504,1971,04:53:53,01:30:47,"Michelmore, Samantha 1625"
05:59:06,251,1404,1863,05:08:21,01:19:55,"Roncska, Robert 1064"
06:58:45,42,562,2097,05:22:34,01:38:43,"Lee, Myeong Soon 562"
04:38:04,20,310,334,03:15:44,01:23:05,"Zieman, Chris 1019"
07:07:06,15,519,1998,04:45:08,01:29:11,"Awad Abed, Maria Desiree 355"
04:56:16,44,454,487,03:23:41,01:13:06,"Mira Nunes, Luís 924"
05:11:47,78,739,813,03:41:22,01:07:45,"Li, Chang-Tai 2257"
04:37:41,40,163,178,03:23:58,00:59:10,"Leiro, Agustin Ricardo 1981"
04:43:34,28,135,147,03:20:13,00:55:34,"Lao Fernández, Rafael 1770"
05:55:28,21,452,1846,05:16:16,01:07:02,"Mcmaster, Sue 565"
05:25:50,221,1197,1486,04:34:27,01:05:29,"Mattson, David 919"
05:02:29,151,695,758,03:49:02,01:04:47,"drouault, julien 1761"
05:12:33,27,1005,1169,04:10:00,01:07:04,"MacMInn, Derek 503"
07:08:16,8,588,2164,06:03:22,01:30:26,"Dronkers, Alexandra 258"
05:48:48,2,1342,1748,04:38:02,01:28:16,"Hefti, Hermann 144"
05:11:40,168,944,1092,03:50:19,01:19:34,"Værnes, Arve 1167"
05:29:22,23,1237,1558,04:28:21,01:25:07,"Dr. Drechsel, Uwe 311"
--:--:--,--,--,--,--:--:--,--:--:--,"Torres, Andres 639"
04:47:54,51,489,522,03:48:54,00:58:21,"Novikov, Sergey 1134"
04:30:49,24,25,26,03:01:21,00:50:32,"Van Berkel, Jan 26"
06:11:44,47,1451,1943,05:13:01,01:24:49,"Kim, Baek Woon 314"
05:28:16,91,1368,1789,05:14:13,01:18:44,"Skov, Charly 448"
05:38:17,154,808,895,03:34:26,00:55:34,"Serda, Diego 1423"
05:59:24,42,1398,1851,05:04:16,01:13:44,"Kriening, Tony 315"
04:45:23,95,362,391,03:48:39,00:50:16,"Hill, Michael 2032"
05:44:10,66,436,1816,04:58:05,01:29:15,"Anderson, Adriana 1875"
04:43:25,133,704,769,04:05:53,01:08:57,"Ellingsen, Per Morten 1278"
04:46:18,109,461,494,03:48:21,00:56:21,"Seidler, Peter 1784"
04:48:04,117,510,545,03:50:15,00:59:27,"Halatsch, Niels 1972"
04:40:52,2,126,137,03:24:35,00:53:08,"Noone, Nicholas 2386"
04:48:12,54,448,480,03:51:16,00:53:13,"Pereira, Edmilson 2278"
07:22:38,9,635,2294,07:17:32,01:45:51,"Yeats, Dexter 182"
05:46:54,235,1296,1669,04:39:25,01:15:28,"Johnston, Roy 1478"
05:34:26,172,976,1133,03:42:35,01:12:33,"Priest, Darren 1062"
04:59:54,15,15,172,03:06:59,00:58:26,"Stage Nielsen, Maja 3031"
04:58:44,52,228,250,03:18:33,00:55:12,"Ohata, Ryosuke 1775"
05:04:00,90,667,721,03:50:31,00:58:23,"Troch, Gerhard 1075"
05:25:28,47,247,1386,04:16:53,01:11:49,"Wächtershäuser, Anna 1917"
--:--:--,--,--,--,--:--:--,--:--:--,"Ashmore, Linda 193"
05:06:39,85,952,1104,04:04:38,01:12:08,"Bravo Dueñas, Roman Ismael 2218"
04:44:58,24,192,210,03:20:17,01:02:07,"Rocheteau, Yann 1316"
05:51:40,33,284,1472,04:01:57,01:08:02,"Cordeiro, Ilka 1175"
05:12:22,16,84,875,03:36:33,01:15:23,"Coble, Caroline 2145"
07:23:04,11,605,2205,06:05:21,01:41:07,"Rinderer, Sandra 270"
--:--:--,--,--,--,--:--:--,--:--:--,"Cozine, Steve 653"
06:53:50,22,536,2031,05:09:50,01:27:32,"Harris, Patricia 381"
04:56:43,166,861,966,04:17:10,01:01:23,"Herman, Rafal 1293"
05:23:55,131,1194,1480,04:16:39,01:20:30,"Terry, Joe 2459"
05:10:19,16,110,978,04:00:47,01:06:49,"Fear, Phoebe 1543"
04:56:06,87,328,354,03:22:26,01:02:26,"Nicholls, David 2125"
05:24:50,141,846,942,03:25:37,01:19:08,"Mccarty, Van 922"
--:--:--,--,--,--,--:--:--,--:--:--,"Kasischke, Dennis 155"
05:39:55,245,1372,1795,05:25:11,01:04:05,"Wakahara, Shingo 1080"
05:49:57,234,1283,1644,04:24:40,01:19:09,"Vanichkachorn, Jed 2465"
06:49:29,194,1532,2091,05:38:53,01:30:24,"Louhaichy, Zouheir 763"
05:01:04,177,1015,1188,04:10:24,01:16:01,"Yun, Su 1008"
05:11:31,24,116,994,03:53:59,01:11:23,"Trnovcova, Zuzana 2211"
06:30:05,21,361,1641,03:57:36,01:03:12,"Diaz Sebriano, Guadalupe 2421"
--:--:--,--,--,--,--:--:--,01:07:36,"Coady, Kevin 1452"
05:19:58,102,719,790,03:28:48,01:08:31,"Simon, Dorian 942"
05:03:54,10,79,839,03:59:45,01:00:55,"Gianinni, Vanessa 1882"
04:46:04,9,59,64,03:07:47,00:51:54,"Mcneile, Edward 2124"
07:48:45,30,1654,2285,06:20:49,02:02:17,"Besser, Michael 151"
04:49:30,15,105,965,04:27:27,00:59:30,"Adam, Stefanie 1597"
06:20:00,2,507,1978,05:35:14,01:12:46,"Keith, Sharon 268"
06:27:27,7,497,1955,05:16:57,01:18:11,"Mcdonald, Mary 388"
04:43:34,30,143,156,03:05:09,01:09:31,"Bradley, Jeffrey 1642"
--:--:--,--,--,--,--:--:--,01:50:22,"Reinhard, Rob 518"
04:49:15,137,657,710,03:52:42,01:05:18,"Giaux, Jérôme 2072"
05:27:14,25,181,1208,04:11:56,00:58:45,"Juanicotena Madrigal, Victoria 2327"
04:51:07,127,670,726,03:48:18,01:13:12,"Wojnar, Robert 1527"
05:21:27,--,--,--,--:--:--,00:57:06,"Nievergelt, Juliana 542"
05:33:43,34,235,1347,04:17:57,00:56:51,"Gibbons, Megan 2367"
06:21:37,84,420,1781,04:15:18,01:28:29,"Vara, Veronica 2481"
07:21:15,97,563,2099,05:05:01,01:42:12,"Nguy, Marie 1606"
04:21:18,3,3,3,02:46:03,00:49:31,"Mcnamee, David 5"
05:04:06,143,851,951,04:00:47,01:09:15,"Paes, Fabiano 998"
06:45:32,28,480,1901,04:29:32,01:20:29,"Young, Lee-Anne 586"
04:53:01,30,42,593,03:56:29,00:54:12,"Mccauley, Jocelyn 3016"
04:33:45,2,108,118,03:18:48,00:57:34,"Park, Reon 1137"
05:02:47,145,726,797,03:50:03,01:03:48,"Zhou, Yantao 2063"
05:06:51,88,652,705,03:24:23,01:20:10,"Mutchie, Jeffrey 1057"
04:46:20,40,284,306,03:29:27,01:00:35,"Vorster, Rowan 1325"
04:55:10,115,781,864,04:03:44,01:07:16,"Smith, Craig 944"
05:15:49,190,1045,1236,04:21:31,01:00:07,"Limbert, Matt 992"
04:50:29,66,248,270,03:20:42,01:03:48,"Darcq, Vincent 2101"
05:39:03,11,230,1334,04:02:55,01:08:10,"Frederikke, Idon-Andersen 2423"
04:49:49,50,413,444,03:33:51,01:04:59,"Killick, Luca 2254"
05:19:44,29,1093,1311,04:00:55,01:21:08,"Hirako, Takahiro 2393"
06:02:12,28,412,1761,04:46:51,01:08:44,"Anderson, Judy 803"
04:46:51,101,422,454,03:41:15,01:00:46,"Lapinski, Rick 1670"
06:28:51,9,499,1960,05:25:21,01:10:41,"Tettenborn, Barbara 392"
06:45:47,47,594,2181,06:43:36,01:15:43,"Goto, Sachie 548"
04:43:22,52,218,239,03:05:53,01:18:04,"Brüschke, Steven 2067"
05:37:49,8,244,1379,04:03:18,01:11:54,"Houston, Keri 827"
04:45:35,45,204,222,03:32:14,00:53:29,"Gómez Hernández, Daniel 1724"
05:43:52,44,345,1611,04:12:38,01:36:31,"Tan, Wenjuan 2344"
05:37:12,169,1394,1843,05:23:15,01:12:26,"Gonzalez, Glenn 745"
04:52:06,159,910,1041,04:23:47,01:04:17,"Braun, Daniel 2015"
05:29:41,50,281,1461,04:23:01,01:09:29,"Walker, Rebekah 1901"
05:09:57,3,51,696,03:32:26,01:08:49,"Fillnow, Meghan 1881"
05:36:31,176,1280,1640,04:29:12,01:23:01,"Cullier, Antoine 2100"
04:49:17,32,281,303,03:23:50,01:02:44,"Zimeri, Andres 2241"
06:10:29,55,509,1981,05:49:02,01:13:44,"Ireland, Kerry 852"
05:34:45,58,1201,1496,04:16:40,01:18:23,"Ferrazzi, Urbano 401"
05:40:24,39,1357,1772,05:01:35,01:13:23,"Green, Frank 280"
06:31:48,72,554,2071,05:57:44,01:19:36,"Willerton, Triny 957"
05:50:16,173,1420,1899,05:20:58,01:21:24,"Ostrander, George 774"
04:50:40,101,584,628,03:54:50,00:59:11,"Gmelin, Moritz 1285"
04:44:44,6,105,115,03:09:06,01:01:11,"Suhadolnik, Ales 1425"
04:40:01,61,528,566,03:49:27,01:06:32,"Schutjes, Alain 1154"
06:27:31,163,1380,1815,04:06:20,01:35:51,"Cabos, German 598"
05:45:34,11,1384,1824,05:29:33,00:59:33,"Breznikar, Branko 230"
06:15:29,71,368,1661,04:15:21,01:08:07,"Florea, Shannon 1544"
07:23:16,74,590,2171,05:36:23,01:44:26,"Nakai, Yuka 1940"
