"Name","div_rank","gender_rank","overall_rank","swim","bike","run"
"Jaros, Zbysek 1298","194","985","1144","01:04:47","04:51:20","04:34:02"
"Woollacott, Lucy 1596","19","123","1016","00:58:09","05:17:30","04:02:47"
"Egretzberger, Rainer 1340","184","947","1096","01:10:59","04:48:54","04:25:05"
"Belcher, Mark 962","243","1353","1767","01:22:29","05:23:12","05:09:20"
"Bowker, Kayla 2320","8","59","738","01:09:37","05:20:10","03:22:02"
"Stoffel, Richard 682","25","651","704","01:01:45","04:49:59","03:57:11"
"Smith, Donald 158","19","1599","2203","01:54:41","07:05:46","05:59:54"
"Casado, Alejandro 1648","46","206","224","01:07:13","04:39:10","03:21:51"
"Brannigan, Jessica 1905","61","366","1655","01:09:10","05:46:08","04:40:42"
"Ratacheski, Diogo 116","4","1395","1847","01:37:55","06:44:04","03:59:45"
"Lawson, Anna 2445","7","173","1187","01:09:57","05:43:25","03:43:30"
"Wibowo, Andy 1710","78","338","367","00:53:30","04:46:21","03:42:39"
"van Heerebeek, freek 797","63","918","1056","01:07:24","05:06:03","04:08:33"
"Robinson, Mary 2193","67","476","1893","01:08:54","05:52:53","05:35:02"
"Herrmann, Antje 574","41","561","2096","01:37:44","06:48:07","05:44:44"
"Junod, Joël 2076","98","370","399","01:00:47","04:48:10","03:36:12"
"Azevedo Jr, Roberto 195","--","--","--","--:--:--","--:--:--","--:--:--"
"Tuttle, John 421","4","623","672","00:56:24","05:01:36","03:47:48"
"Lim, Chee Yong 2412","33","1184","1466","01:12:24","05:35:08","04:19:05"
"Marin Sospedra, Jose 209","9","1349","1760","01:43:11","05:58:35","04:15:57"
"Hauser, David 2409","39","1409","1871","01:35:31","06:19:54","04:29:05"
"Mullaney, David 2462","96","1052","1246","01:13:53","05:08:55","04:11:55"
"Loveridge, Robert 764","113","1114","1350","01:10:13","05:14:10","04:26:08"
"Ando, Yoshiro 321","56","1524","2081","01:45:47","07:01:31","05:13:16"
"Hopkin, Andrea 1552","25","140","1059","01:06:01","05:07:45","04:09:08"
"Im Brahm, Carsten 1115","200","1098","1326","00:59:17","05:16:52","04:28:20"
"Douaud, Lionel 738","88","1014","1186","01:13:00","05:16:38","04:04:47"
"Devliegere, Stefaan 1095","175","999","1160","01:10:26","05:01:51","04:19:35"
"Mienteh, Chong 794","202","1597","2197","01:37:59","06:50:28","06:31:52"
"Lang, Brian 990","--","--","--","01:26:08","08:40:01","--:--:--"
"Gatzoubaros, Matthew 2028","142","689","751","01:13:19","05:03:14","03:37:03"
"Woolgar, Keith 716","185","1490","2019","01:11:48","06:35:44","05:39:41"
"Kessler, Gary 238","--","--","--","--:--:--","--:--:--","--:--:--"
"Cerize, Juliana 1536","--","--","--","01:19:58","05:24:46","--:--:--"
"Nadeau, Laura 1890","11","82","846","01:10:10","05:21:39","03:31:42"
"masera, christian 505","60","1208","1510","01:29:15","05:53:36","03:45:02"
"Earley, Melissa 1204","68","506","1977","01:10:35","06:12:44","05:48:28"
"Achten, Guy 1711","139","595","639","01:16:19","04:51:16","03:33:07"
"Silva, Samuel 1861","36","161","176","01:03:46","04:59:22","03:00:41"
"Niederau, Annette 1228","61","435","1812","01:31:11","05:47:43","04:51:45"
"Meth, Hendrik 1491","103","593","637","01:09:39","05:00:51","03:29:15"
"Sacré, Pieter 1856","73","321","347","01:08:59","04:48:15","03:23:44"
"Santiago, Carlos 2233","19","175","192","00:53:28","04:45:16","03:27:20"
"Yost, Gentry 1329","116","647","698","01:10:40","04:46:29","03:52:00"
"Roma, Ken 520","127","1635","2260","01:41:27","07:41:55","06:19:28"
"Shinagawa, Takako 1232","53","388","1710","01:13:10","06:20:36","04:14:57"
"Hetzer, Laura 383","--","--","--","01:41:40","--:--:--","--:--:--"
"Knezevic, Ursela 2155","48","259","1412","01:10:58","05:41:15","04:05:34"
"Piampiano, Sarah 3017","11","11","122","01:05:04","04:52:01","02:59:26"
"Arcoverde Ribeiro Costa, Tarik 1257","102","586","630","00:53:12","04:56:33","03:53:12"
"Leitner, Stefan 1732","11","76","82","01:00:29","04:36:23","03:09:35"
"Gualtieri, Francesco 2408","5","185","203","00:56:42","04:39:09","03:29:51"
"Drewitz, Ralf 1098","238","1326","1721","01:40:04","05:37:03","04:28:43"
"Rudolf, Michaela 1191","17","197","1254","01:05:28","05:43:53","03:53:54"
"Ljung, Carina 386","36","610","2222","01:28:25","07:29:09","06:19:50"
"Schneeberger, Federico 938","193","1061","1261","01:03:53","04:58:21","04:34:45"
"Niederau, Dirk 926","49","475","508","00:53:48","04:38:36","04:00:38"
