"Name","div_rank","gender_rank","overall_rank","swim","bike","run"
"Choi, Kwang-Soo 1027","275","1581","2170","01:25:33","05:52:21","07:32:54"
"Fukuda, Takayuki 234","--","--","--","01:19:01","05:47:37","--:--:--"
"Swenson, Mark 344","71","1646","2276","01:45:26","07:43:19","06:29:34"
"Philippe, Bonnet Badille 780","54","849","946","01:03:47","05:16:00","03:52:39"
"Saso, Hiroaki 2416","16","606","650","01:00:15","04:59:47","03:46:31"
"Heisler, Felicia 1622","88","457","1856","01:22:38","05:53:51","05:07:15"
"Park, Sung-Jin 1417","130","688","749","01:11:39","04:54:06","03:49:24"
"de Korte, Robert 2273","53","446","478","01:03:52","04:40:39","03:46:07"
"Macdonald, Richard 1487","97","569","613","01:03:31","05:03:30","03:35:48"
"Hansen, Scott 1726","196","1073","1278","00:54:04","04:39:23","05:07:18"
"Jensen, Gary 1477","232","1275","1630","01:07:21","05:34:43","04:53:06"
"Springhetti, Aaron 2004","73","275","297","01:03:25","04:34:38","03:38:01"
"Karpinski, Sarah 1885","54","300","1505","01:15:36","05:43:09","04:12:37"
"Fieldhack, Jeff 606","--","--","--","--:--:--","--:--:--","--:--:--"
"Duncan, Kirron 1457","120","655","708","00:59:12","05:00:21","03:52:38"
"O'Bryant, Allan 2472","72","1653","2284","01:53:23","07:21:22","06:54:27"
"Boldu Tormo, Enrique 650","127","1166","1435","00:56:10","05:25:20","04:37:10"
"Lundstrom, Asa 3038","19","19","229","01:04:46","04:50:57","03:15:31"
"Schmäding, Ralf 446","40","1103","1332","01:20:21","05:37:57","03:51:16"
"Brenke, Rachel 103","68","567","2111","01:16:13","07:04:59","05:54:44"
"Carmo, Fernando 692","60","902","1030","01:21:14","05:18:03","03:36:50"
"Ferrarassi, Sebastian 896","89","654","707","01:03:57","05:00:21","03:46:20"
"Sironi, Cristina 1593","13","97","944","01:04:10","05:05:34","04:03:28"
"Voigtländer, Thoralf 530","33","1064","1267","01:12:35","05:27:14","03:57:19"
"Cowling, Paul 2021","54","223","244","00:55:18","04:40:45","03:35:43"
"Ward, Pat 347","62","1571","2155","01:38:46","06:37:48","06:17:26"
"Selukov, Arnaud 1070","16","262","284","01:00:26","04:39:11","03:36:05"
"Pirotte, Annabelle 2163","22","100","950","00:59:04","05:17:21","03:57:51"
"costa, natally 2334","45","347","1614","01:15:17","06:05:07","04:11:20"
"Smith, Robert 203","8","1347","1755","01:27:21","05:33:00","04:56:48"
"Rice, Carly 2375","54","586","2157","01:34:28","07:20:46","05:49:01"
"Browne, Nicholas 1644","84","363","392","01:01:29","04:47:53","03:36:12"
"Brugiere, Steeve 1716","47","212","232","01:03:21","04:42:10","03:23:50"
"Saadus, Allan 522","108","1454","1949","01:09:39","06:04:56","05:41:33"
"Fullen, Gill 839","--","--","--","--:--:--","--:--:--","--:--:--"
"Konarski, Rhonda 384","32","593","2180","01:29:03","07:12:19","06:06:25"
"Knobelspies, Fabian 2116","32","125","136","00:56:44","04:45:22","03:15:31"
"Blakie, Alan 1640","82","355","384","01:04:34","04:48:02","03:30:18"
"Stöhr, Markus 2265","25","220","241","00:58:05","04:42:18","03:31:04"
"Woodhouse, Craig 715","156","1330","1726","01:15:28","05:51:52","04:41:53"
"Valena, Tomas 204","4","1271","1624","01:21:56","05:51:34","04:21:07"
"Kaltenbaugh, Ann 854","24","389","1711","01:06:11","05:38:30","05:07:07"
"Schoeman, Jason 2052","49","205","223","01:02:15","04:43:57","03:23:34"
"Bernard, Jonathan 1335","233","1278","1636","01:19:43","05:25:15","04:46:44"
"Yvalun, Johan 1873","19","102","112","00:58:09","04:46:59","03:04:30"
"Gagnon, Lucien 1102","276","1583","2174","01:31:11","06:45:01","06:24:12"
"Stockall, Eric 526","126","1628","2246","01:46:04","07:10:55","06:36:10"
"Perry, Jess 1891","52","292","1492","01:14:02","05:29:48","04:25:36"
"Nation, Perry 413","12","792","875","01:01:06","05:02:43","04:02:07"
"Tanaka, Takeshi 476","7","690","753","01:07:30","05:16:57","03:30:17"
"Onaran, Ipek 2181","25","117","997","01:08:44","05:34:46","03:34:50"
"Sali, Kaisa 3004","7","7","84","00:58:23","04:44:31","03:06:04"
"Clarke, Angela 804","25","392","1715","01:05:42","06:10:37","04:30:50"
"Badenhorst, Claire 2362","--","--","--","--:--:--","--:--:--","--:--:--"
"Iott, Scott 1297","109","626","675","01:05:14","04:56:50","03:46:43"
"Saluveer, Joona 1419","108","613","662","00:59:26","04:59:30","03:46:40"
"Girg, Sebastian Felix 1464","213","1106","1337","01:13:24","05:15:03","04:21:47"
"Valderrabano, Uzziel 714","22","619","668","00:55:24","04:57:22","03:54:58"
"Craig, Cary 350","10","500","1965","01:30:38","06:19:44","05:12:59"
"なかた, ひろし 135","4","1547","2117","01:16:51","07:20:00","05:40:17"
"Espinoza, Ernesto 1815","93","394","425","00:54:34","04:51:55","03:42:37"
"Stanley-Hunt, Kevin 1007","136","838","934","01:05:20","05:05:00","04:00:29"
"Scroggins, Tommy 1156","280","1618","2233","01:50:41","06:49:53","06:23:16"
"Owsley, William 631","110","1094","1312","01:08:44","04:58:46","04:38:30"
"Zaman, Joris 1435","150","791","874","01:11:08","05:02:30","03:50:05"
"Brown, Markcus 1715","108","449","482","01:03:33","04:57:20","03:31:54"
"Ramsbey, Nicole 1629","94","532","2027","01:25:43","06:42:11","05:22:16"
"Weyland, Christian 1327","203","1032","1216","01:09:35","04:37:29","04:52:01"
"Phillips, Mike 39","16","16","16","00:50:45","04:25:04","02:57:35"
"Phillips, Ben 2307","3","53","57","00:51:37","04:36:08","03:14:20"
"Thomas, Sarah 1900","8","71","788","01:06:40","05:18:08","03:35:34"
"Doyle, Declan 972","15","261","283","01:11:22","04:42:24","03:20:01"
"Rabago, Larissa 2332","11","91","919","01:04:17","05:14:12","03:51:44"
"Schneeberger, Cornelia 1633","11","93","922","01:09:05","05:15:38","03:45:03"
"Julen, Diez Rodriguez 2389","3","141","154","00:56:20","04:41:05","03:23:57"
"Doron, Yehuda 1097","105","738","811","01:08:59","05:01:00","03:45:43"
"De Mooij, Jaryd 2023","104","400","431","01:00:45","04:39:38","03:49:03"
"Villa, Elisabetta 1195","2","47","654","01:10:49","05:15:10","03:22:00"
"Perry, Andrew 1995","124","560","603","01:04:24","04:36:29","04:03:28"
"Kennedy, Thomas 300","69","1639","2268","01:31:38","07:34:02","06:47:51"
"Tuttle, Michael 2133","182","1468","1972","01:16:52","05:35:53","06:16:26"
"Tiedeken, Iris 837","5","192","1237","01:04:51","05:36:45","03:58:46"
"Noon, Jonathan 1993","42","172","188","01:03:19","04:38:53","03:23:02"
"Smith, Zoe 1915","26","154","1109","01:05:45","05:28:11","03:52:18"
"Chevrier, Philippe 1267","--","--","--","01:11:13","--:--:--","--:--:--"
"Bretting, Nicole 1219","8","104","964","01:08:46","05:10:13","03:56:29"
"Racadot, Benoit 1145","122","795","881","01:02:18","04:49:40","04:15:40"
"Ureta, Pablo 1703","83","360","389","00:57:18","04:50:56","03:36:37"
"Robbins, Mary 2165","52","290","1487","01:02:47","05:09:57","04:56:02"
"Timp, Michael 1522","142","742","816","00:59:59","04:46:28","04:12:31"
"Deer, Tim 2471","154","1318","1703","01:34:21","06:05:23","04:05:53"
"Montreuil, Carol 333","37","1334","1735","01:27:27","05:52:52","04:32:58"
"Konschak, Ulrich 1048","--","--","--","--:--:--","--:--:--","--:--:--"
"Dow, Stephen 685","120","1144","1398","01:09:41","05:21:09","04:22:10"
"Lin, Haoran 2413","--","--","--","--:--:--","--:--:--","--:--:--"
"Gallegos, Roberto 460","105","1438","1928","01:46:17","06:00:27","05:00:43"
"Borg, Johan 2244","5","66","71","00:57:20","04:37:10","03:09:50"
"Andersen, Frederik 2214","39","313","337","01:02:14","04:35:22","03:41:10"
"Hoffmann, Christine 2153","47","258","1410","01:05:24","05:10:44","04:41:13"
"Rüegg-Koller, Chantal 1631","20","124","1017","01:02:19","05:21:38","03:52:26"
"Ladewig, Rob 157","22","1613","2223","01:39:01","06:37:19","06:54:30"
"Simpson, Diana 1896","7","66","770","00:58:40","05:09:04","03:50:10"
"Scott, Robert 228","36","1554","2126","01:25:22","06:49:41","06:01:36"
"Bohm, Holger 1445","193","982","1140","01:12:19","04:48:24","04:29:40"
"Molesworth, Lilian 1604","66","354","1625","01:22:44","05:56:21","04:15:56"
"Rimmington, Rebecca 1943","34","191","1234","00:56:57","05:11:41","04:30:03"
"Wiley, Jane 374","2","351","1621","01:22:59","05:47:48","04:21:35"
"Leyonhjelm, Ricky 2277","64","559","602","01:01:51","04:53:08","03:47:00"
"Royce, Daniel 1690","189","995","1155","00:56:12","04:56:25","04:36:27"
"Faria, Marcos 1656","183","913","1049","00:53:44","05:02:00","04:25:59"
"Franco Acevedo, Marisol 2149","34","180","1202","01:09:11","05:31:30","03:56:18"
"Besse, Ben 2217","63","556","598","00:59:13","04:43:59","03:59:40"
"Krebs, Jeffrey 436","90","1367","1788","01:43:59","06:15:35","04:07:08"
"Torre, Alejandro 1372","--","--","--","--:--:--","--:--:--","--:--:--"
"Johnstone, Gary 2074","79","301","324","01:03:08","04:49:32","03:21:25"
"Provoost, Peter 782","180","1449","1941","01:21:33","06:40:18","04:39:12"
"Whelan, Fiona 1595","14","98","947","01:06:17","05:23:03","03:44:32"
"Scott, Frederick 201","5","1302","1678","01:16:30","05:25:52","05:02:47"
"Doronin, Victor 1654","85","373","402","01:09:55","05:05:14","03:11:12"
"Serreyn, Tracy 841","23","383","1696","01:16:26","06:11:22","04:18:46"
"Andersen, Bent 719","29","681","740","00:56:41","05:10:18","03:44:47"
"Dyer, Mitchell 2025","132","621","670","00:55:49","05:00:00","03:49:12"
"Haddad, Luciana 1883","36","196","1250","01:16:00","05:47:15","03:40:13"
"Moncada, Thierry 438","72","1249","1580","01:28:49","05:23:48","04:30:25"
"Mamoru, Nakashima 140","9","1645","2275","02:02:46","07:45:33","06:10:10"
"Ishibashi, Takeshi 2252","76","722","793","00:51:56","05:05:32","04:00:17"
"Riley, Jacob 2139","75","280","302","01:05:08","04:32:54","03:38:13"
"Jordan, Bob 110","10","1376","1806","01:21:07","05:47:15","04:59:30"
"Tai, Dex 1866","215","1360","1779","01:29:28","06:28:32","04:08:10"
"Bondy, Ann 263","18","628","2263","01:38:43","07:33:19","06:32:43"
"Hay, David 461","98","1407","1868","01:07:50","06:16:51","05:06:48"
"Alacio, Salvador Alarcon 1255","131","692","755","01:05:34","05:00:19","03:47:55"
"Franco Moreu, Borja 1968","38","158","173","00:59:21","04:52:20","03:11:14"
"Foulounoux, Thierry 277","17","1214","1522","01:17:20","05:36:09","04:17:37"
"Church, Aaron 1451","138","723","794","01:12:36","05:12:53","03:31:37"
"Heckens, Georg 749","92","1044","1234","01:08:18","05:11:35","04:18:18"
"Smith, Luke 1862","40","173","190","01:11:08","04:47:54","03:06:38"
"Clark, David 1808","5","51","55","00:53:10","04:33:47","03:13:32"
"Jongstra, Sione 1553","1","37","558","00:59:40","05:04:51","03:36:37"
"Crowley, Sarah 3003","6","6","75","00:54:19","04:43:09","03:10:29"
"Cole, Miriam 805","32","423","1793","01:21:07","05:37:13","05:06:40"
"Nielsen, Peter 2230","44","371","400","01:06:18","04:54:52","03:24:50"
"Hankala, Teemu 1468","159","827","917","01:25:33","05:06:04","03:37:43"
"Veltum, Benjamin 2006","121","540","578","01:05:32","05:01:21","03:24:22"
"Desruisseaux, Carl 1275","121","659","713","01:02:21","05:00:36","03:49:13"
"Longchamp, Caroline 1603","60","321","1557","01:29:16","05:39:23","04:15:42"
"King, Joshua 1832","205","1162","1429","01:13:41","05:38:40","04:06:44"
"Lemesev, Pavel 1733","210","1310","1690","01:02:15","05:16:10","05:17:11"
"Maclaurin, Roxanne 563","29","486","1913","01:20:27","05:54:05","05:30:47"
"Stoeckli, Michele 1214","37","303","1514","01:09:42","05:41:54","04:19:26"
"Müller, Jens 1740","34","151","164","01:01:48","04:44:21","03:15:16"
"Broadley, Paul 1090","259","1450","1942","01:23:12","05:44:55","05:43:56"
"Nelly, Wojtasinski 393","4","416","1773","01:19:39","05:37:41","05:06:36"
"Whitfield, Richard 1751","74","323","349","00:57:52","04:33:00","03:50:12"
"Gillodts, Guillaume 1345","11","124","135","00:56:14","04:35:47","03:27:33"
"Torrades Sabada, Xavier 1868","26","123","134","00:53:35","04:49:55","03:14:38"
"Brocks, Steffen 595","26","661","715","01:01:55","05:00:43","03:46:47"
"Byrne, Ciaran 886","31","372","401","01:08:17","04:47:25","03:28:53"
"Key, Robert 465","116","1523","2078","01:23:49","06:27:42","06:03:38"
"Lange, Patrick 1","1","1","1","00:50:37","04:16:04","02:41:31"
"Michelsson, Magnus 707","9","387","418","00:51:56","05:07:51","03:27:33"
"Kromer, Carmen 385","34","600","2195","01:23:03","07:08:34","06:33:10"
"Nielsen, Marianne Schøler 857","9","269","1434","01:28:12","05:38:09","03:54:35"
"Tuchner, Debra 821","20","379","1684","01:10:49","06:03:40","04:32:38"
"Meadows, Ben 1488","185","948","1097","01:08:49","05:08:33","04:05:50"
"Sauma, Andres 1068","222","1203","1498","00:57:17","05:06:00","05:05:31"
"Alvim, Thiago 1953","165","993","1153","00:59:04","04:41:46","04:51:17"
"Vosloo, Christopher 643","115","1117","1353","01:07:44","05:15:09","04:23:26"
"Boyes, Michelle 1173","20","204","1273","01:08:29","05:30:55","04:04:13"
"Cho, Jung Hyun 457","67","1228","1543","01:15:08","05:24:46","04:36:06"
"Wetzel, Michael 2062","90","343","372","01:04:45","04:46:11","03:32:46"
"Yamaguchi, Yumiko 394","31","584","2153","01:48:35","07:05:34","05:42:14"
"Soegaard, Karina 583","19","443","1830","01:19:34","06:07:31","04:51:17"
"Maru, Hiroko 387","33","595","2182","01:34:10","07:12:39","06:02:03"
"Stewart, Alastair 1320","68","455","488","00:55:25","05:08:56","03:28:13"
"Mccartney, Kathleen 102","50","622","2254","01:28:08","07:19:09","06:49:29"
"Thomsen, Keld 1164","229","1239","1560","01:05:52","04:58:15","05:18:56"
"Araki, Takeshi 424","22","941","1088","01:13:40","05:12:07","03:51:46"
"Imai, Kunihiro 434","--","--","--","--:--:--","--:--:--","--:--:--"
"Trotter, Jules 2169","28","135","1047","01:01:09","05:21:57","03:58:35"
"Elvedal, Marius 2105","88","336","365","00:58:58","04:34:35","03:51:13"
"Calman, Kirsty 2198","65","464","1873","01:15:27","06:12:44","05:05:24"
"Lidström, Johan 2120","172","1141","1392","01:19:43","05:18:59","04:14:53"
"Sandberg, Marie 1946","53","295","1495","01:11:12","05:33:49","04:20:37"
"Tiller, Linni 584","33","514","1986","01:27:02","06:27:01","05:22:26"
"Murphy, Meleah 2160","54","317","1551","01:08:48","05:46:12","04:26:09"
"Rajca, Michal 2263","21","187","205","01:06:45","04:37:52","03:25:09"
"Dejongh, Bob 1811","209","1286","1650","01:12:29","05:45:18","04:37:28"
"Flunger, Mathias 1722","23","115","126","01:00:00","04:41:14","03:17:06"
"Kwaterka, Jonathan 1979","171","1140","1391","01:04:23","06:05:06","03:45:51"
"Faerch, Kirstine 1177","25","231","1335","01:09:24","05:33:41","04:05:07"
"Reinhart, Rebecca 1942","70","490","1925","01:17:14","06:02:56","05:20:44"
"RICHTROVA, JANA 1893","9","77","832","01:16:04","05:01:34","03:46:03"
"Lies, Gerald 1302","189","968","1124","01:07:12","05:31:02","03:46:12"
"Glynn, Tom 431","81","1298","1672","01:24:56","05:45:32","04:30:58"
"Drapella, Dariusz 276","27","1251","1583","01:13:01","05:35:15","04:42:13"
"Madden, Kurt 283","15","1169","1439","01:02:25","05:27:38","04:30:46"
"Herran, Luis 496","47","1145","1399","01:13:16","05:14:36","04:26:14"
"Walkenhorst, Ryan 1871","186","972","1128","01:03:58","05:22:37","03:56:49"
"Anders, Ralph 205","29","1518","2072","01:30:26","06:30:22","05:42:23"
"Alder, Timothy 1437","--","--","--","--:--:--","--:--:--","--:--:--"
"Rehle, Bernhard 441","88","1339","1744","01:25:23","05:34:41","04:56:40"
"Tracy, Diane 257","12","607","2214","01:43:34","07:14:06","06:12:43"
"English, Victoria 2199","27","134","1046","01:19:17","05:21:05","03:41:59"
"Nova, Mitchell 1359","174","903","1031","01:19:10","05:06:53","03:47:39"
"Zeledon, Rodolfo 2010","175","1265","1607","01:07:37","05:34:24","04:50:41"
"Seiler, Ulrike 819","40","450","1844","01:20:03","05:51:56","05:08:18"
"Schiller Thompson Flores, Claudio 524","74","1263","1603","01:06:32","05:33:32","04:47:00"
"Giuliano, Ryan 1970","3","42","44","00:59:01","04:38:01","02:58:09"
"Robertson, John 1367","158","826","915","01:09:53","04:56:05","04:00:37"
"Lang, Alexander 758","8","366","395","01:03:41","04:36:46","03:45:32"
"Reuwer, Carrie 1250","26","241","1370","01:05:20","05:32:54","04:12:35"
"Daudrix, Stéphane 969","65","557","599","01:05:02","05:05:12","03:30:05"
"Kawasaki, Ayako 188","--","--","--","--:--:--","--:--:--","--:--:--"
"Shouksmith, Christine 372","29","572","2119","01:26:25","06:50:02","05:59:54"
"Funk, Harold 698","2","197","215","01:02:46","04:31:13","03:33:13"
"LOPEZ, DOMINIC 1672","161","728","800","01:18:24","04:53:49","03:46:42"
"Li, Songen 2411","20","821","910","01:12:42","05:13:53","03:43:11"
"Fanti, Paula 1178","58","401","1734","01:22:44","06:06:11","04:27:00"
"Green, Jonathon 1821","192","1049","1243","01:30:35","04:52:32","04:15:08"
"Wedgwood, Anna 869","60","530","2021","01:45:54","06:12:19","05:31:35"
"Kester, Steve 500","25","997","1158","01:00:38","05:08:40","04:21:57"
"O'Donnell, Tim 43","4","4","4","00:47:45","04:18:45","02:52:33"
"Wu, Haitong 2136","--","--","--","--:--:--","--:--:--","--:--:--"
"Manser, Erich 122","5","1445","1936","01:05:14","05:40:56","06:03:02"
"Murray, Nathan 1680","114","477","510","01:11:56","04:51:34","03:33:10"
"Bartell, Matt 723","198","1578","2167","01:29:03","06:47:09","06:20:47"
"Decarli, Michael 1272","219","1177","1454","01:12:35","05:07:34","04:39:38"
"Abecassis, Eric 647","108","1091","1309","01:19:59","05:21:29","04:04:08"
"Sek, Dave 1698","163","763","843","00:58:53","05:07:14","03:51:42"
"Barclay, Aaron 2287","--","--","--","--:--:--","--:--:--","--:--:--"
"Flores Márquez, Carime 2351","46","356","1632","01:07:52","05:33:45","04:52:47"
"Eakin, Tina 1236","--","--","--","--:--:--","--:--:--","--:--:--"
"Johnsen, John 299","50","1462","1961","01:22:56","06:01:27","05:39:04"
"Tsvetkov, Sviatoslav 1869","--","--","--","--:--:--","--:--:--","--:--:--"
"Besseling, Michel 1444","182","943","1091","01:05:50","05:46:44","03:30:51"
"Birkelo, John 425","45","1136","1379","01:31:33","05:19:38","04:00:39"
"Chow, Chi Ngan 1918","56","308","1521","01:28:19","06:02:26","03:44:31"
"Abdo, Marcelo 874","114","780","863","00:53:05","04:58:13","04:13:37"
"Kruse, Katja 1243","29","265","1425","01:11:47","05:41:56","04:06:58"
"Socha, Tomasz 638","125","1158","1419","01:20:21","05:35:48","04:02:15"
"Burmester, Michael 484","61","1209","1511","01:10:53","05:34:42","04:27:07"
"Millward, Callum 53","44","136","148","00:50:57","04:32:08","03:37:45"
"Kocsis, Norbert 1833","138","592","636","01:01:54","04:54:40","03:41:54"
"Hudson, George 126","10","1668","2306","02:13:39","07:34:06","06:41:41"
"Nelker, Mikael 1307","49","332","360","01:04:49","04:46:45","03:26:52"
"Thompson, Susan 189","7","629","2266","01:26:46","08:13:23","06:06:59"
"Collington, Kevin 35","--","--","--","00:48:25","05:13:00","--:--:--"
"Lin, Nina 2178","60","429","1804","01:11:51","06:03:11","04:53:57"
"Farinon, Anabella 1600","--","--","--","--:--:--","--:--:--","--:--:--"
"Yard, Chris 717","123","1149","1404","01:11:22","05:17:16","04:20:42"
"Searcy, Conner 1514","196","1003","1167","01:17:14","05:12:29","04:03:00"
"Kersch, Thomas 329","60","1548","2119","01:07:13","06:59:17","06:09:30"
"Dumont, Claudia 1539","6","60","740","00:58:40","05:26:55","03:28:47"
"Gomez, Javier 7","11","11","11","00:47:46","04:19:44","02:59:24"
"Blesing, Ryan 2014","105","406","437","01:03:16","04:47:36","03:35:19"
"Grundy, Anne 190","3","578","2142","01:30:36","07:09:16","05:48:02"
"Mckenzie, Michelle 1587","87","444","1832","01:19:37","06:22:32","04:34:32"
"Al Khalifa, Hh Shaikh Nasser Bin Hamad 2456","57","229","251","01:03:26","04:40:22","03:29:04"
"Richardson, Shane 933","82","624","673","01:07:01","04:46:03","03:55:56"
"Scheer, Thomas 1151","284","1630","2250","01:15:50","06:53:43","07:24:57"
"Schaffeld, Timo 2417","1","64","69","00:57:49","04:32:30","03:17:20"
"Dias, Alexandre 119","8","1533","2093","01:26:53","06:40:24","06:03:22"
"Howse, Jon 223","14","1432","1921","01:08:52","06:09:07","05:25:07"
"Hardwick, Frances 380","8","498","1959","01:24:02","06:11:42","05:24:53"
"Noya, Daniela 2161","61","433","1810","01:25:31","06:02:39","04:45:32"
"Uwe, Moeller 640","119","1139","1384","01:07:06","05:20:34","04:26:08"
"Purbrook, Ruth 2330","1","30","409","01:03:20","04:52:43","03:32:23"
"Osokin, Victor 1683","89","379","408","01:09:29","04:38:59","03:37:46"
"Hillman, Andrea 1224","78","599","2188","01:46:31","06:59:00","06:12:23"
"Zaloga, Dmitrii 2284","57","465","498","01:03:38","04:55:19","03:33:23"
"Abraham, Corinne 3025","9","9","101","00:58:44","04:38:16","03:16:26"
"Nichols, Katerine 856","4","171","1184","01:01:40","05:41:49","03:49:57"
"Scherle, Joerg 1695","38","168","183","01:07:13","04:43:10","03:13:35"
"Dru Drury, Guy 604","135","1223","1536","01:22:06","05:36:26","04:14:44"
"Voit, Volker 1708","170","832","927","01:12:11","04:40:29","04:16:33"
"Louderback, Kristin 1935","43","224","1319","01:06:54","05:36:16","04:03:59"
"Gallo, Oscar 278","28","1272","1627","01:21:18","05:55:46","04:19:23"
"Tomkinson, Chris 796","11","406","437","01:01:54","04:54:22","03:32:40"
"Seguine, Ryan 1697","182","911","1042","01:20:30","05:01:20","03:55:56"
"Zschorlich, Beate 1199","10","129","1032","01:20:10","05:16:29","03:44:42"
"Welter, Mischa 954","179","1018","1194","01:12:31","05:11:46","04:08:41"
"Barbour, Damien 1800","152","698","762","01:16:45","05:01:31","03:38:25"
"Laswell, Marilynn  577","49","614","2231","02:08:00","07:08:58","06:06:12"
"Olsen, Mette 1588","22","130","1033","01:12:37","05:22:10","03:45:30"
"Stelzner, Jan 2088","83","324","350","01:01:23","04:56:19","03:23:44"
"Prinz, Joachim 1063","127","805","892","01:13:53","05:12:36","03:39:47"
"Perkins, Kevin 512","128","1643","2273","01:41:37","07:23:58","06:50:50"
"Kelemen, Anna 2444","32","566","2104","01:03:18","06:37:03","06:34:13"
"Lewis, Shane 1125","--","--","--","--:--:--","--:--:--","--:--:--"
"Pauer, Stefanie 2449","17","297","1501","01:06:54","05:59:26","04:05:16"
"Kirwan, Martin 908","142","847","943","01:20:30","05:06:45","03:38:50"
"Pruksa, Robert 1998","69","260","282","01:03:41","04:35:08","03:35:55"
"Joly, Lionel 1301","144","750","826","01:12:26","05:24:36","03:22:34"
"Hitz, Tamara 2369","2","33","481","00:57:03","05:09:15","03:27:01"
"Sahm, Philipp 1780","115","482","515","01:01:41","04:58:16","03:35:47"
"Goodyear, Cullen 185","2","574","2130","01:22:54","06:44:25","06:10:29"
"Cromstedt, Lennart 736","104","1083","1294","01:15:39","05:10:04","04:16:32"
"Hawkins, Megan 2336","24","176","1192","01:08:28","05:26:33","03:59:57"
"Painter, Glyn 1136","--","--","--","--:--:--","--:--:--","--:--:--"
"Horiuchi, Tadashi 132","--","--","--","02:06:00","--:--:--","--:--:--"
"Gluszkowski, Bogumil 1107","13","252","274","01:00:25","04:39:56","03:32:57"
"Podoba, Jacek 930","140","844","940","00:58:26","05:19:05","03:55:17"
"Calimano, Chris 1759","220","1463","1962","01:33:32","06:50:59","04:40:02"
"Yujiri, Junya 718","--","--","--","01:03:39","--:--:--","--:--:--"
"Frederiksen, Helle 3029","16","16","187","00:52:02","04:54:05","03:21:00"
"Holzerny, Jean-Christophe 1471","42","302","325","00:51:42","04:49:40","03:34:36"
"Taylor, Craig 2056","24","96","105","00:56:40","04:42:26","03:12:56"
"Puumala, Sari 864","52","491","1929","01:16:49","06:25:26","05:09:27"
"Murphy, Cheyne 1679","144","641","691","01:02:43","05:07:26","03:39:31"
"Hyvärinen, Heidi 2187","5","45","651","01:03:57","05:07:54","03:34:52"
"Lemery, Christophe 620","--","--","--","--:--:--","--:--:--","--:--:--"
"Dittmers, Maximilian 2379","17","622","671","01:01:15","04:51:17","03:56:15"
"Rastetter, Marisa 1630","32","169","1180","01:04:23","05:30:14","03:57:19"
"Champagne, Franck 1025","160","916","1052","01:12:40","05:11:01","03:53:23"
"O'Keeffe, Tony 440","--","--","--","01:04:00","05:07:16","--:--:--"
"Matsufuji, Akari 2446","27","478","1897","01:20:26","06:20:00","04:57:12"
"Škabrada, Jan 1071","30","369","398","01:01:43","04:34:48","03:49:31"
"Verbeke, Bert 1376","2","58","62","00:54:56","04:30:55","03:19:20"
"Ibarra Guerrero, Alejandra 1884","51","291","1491","01:11:00","05:46:54","04:10:58"
"Blatchford, Liz 3021","12","12","146","00:52:09","04:53:32","03:15:17"
"Silver, Zack 2264","96","1268","1616","01:06:18","06:04:12","04:19:48"
"Yan, Hu 585","--","--","--","--:--:--","--:--:--","--:--:--"
"Jackson, Matthew 2111","36","153","166","00:53:03","04:42:14","03:27:47"
"Todd, Gilmore 899","194","1063","1266","01:08:53","05:03:44","04:29:10"
"Wolf, Alexander 799","14","462","495","01:04:33","04:59:39","03:29:34"
"Alexis, Sicard 2053","99","384","414","00:58:38","04:50:51","03:37:20"
"Takao, Yamazaki 1700","156","703","768","01:05:56","05:19:59","03:30:44"
"Gannon, Elizabeth 535","12","405","1740","01:27:10","06:01:28","04:27:34"
"White, Janie 545","15","427","1801","01:15:45","05:59:33","04:54:31"
"Lanza, Craig 619","129","1172","1443","00:56:13","05:28:15","04:34:46"
"Ridgway, Diane 187","6","623","2256","01:42:30","07:27:38","06:34:45"
"James, Elizabeth 2337","47","372","1667","01:19:36","05:53:31","04:27:33"
"Hupel, Christian 1829","165","766","849","01:08:06","05:08:25","03:43:09"
"Guillaume, Romain 45","37","55","59","00:50:38","04:27:18","03:24:16"
"Weigert, Uwe 288","38","1341","1747","01:18:52","05:24:59","05:14:41"
"Hernandez, Cibelle 1206","9","107","971","01:05:32","05:35:57","03:34:35"
"Domoney, Christopher 222","--","--","--","--:--:--","--:--:--","--:--:--"
"Koceic, Marin 1349","26","195","213","00:55:25","04:40:39","03:33:38"
"Vindel Hernandez, Damian 1789","41","180","198","01:02:21","04:52:14","03:12:02"
"Tallo, David 1009","107","744","820","01:08:04","05:00:32","03:54:20"
"Vatai, Miklos 1788","31","144","157","01:04:14","04:39:37","03:15:17"
"Fischer, Oliver 1341","147","765","847","01:04:49","05:02:08","03:58:19"
"Duelsen, Marc 36","--","--","--","00:54:13","--:--:--","--:--:--"
"Giuliano, Jacqui 2150","4","41","590","01:07:36","05:16:43","03:17:21"
"Bullard, Dana 1535","47","254","1396","01:12:17","05:36:35","04:06:21"
"Ishida, Tsutomu 660","98","1055","1251","01:19:28","05:11:08","04:07:34"
"Ramajo Farre, Ruben 1686","126","547","587","01:10:41","04:57:42","03:32:04"
"Peters, Karin 832","39","449","1842","02:03:49","05:47:55","04:29:03"
"Fox, Thomas 2461","136","1231","1546","01:23:40","05:18:19","04:34:35"
"Kislukhina, Valentina 1602","24","139","1057","01:08:13","05:31:30","03:40:46"
"Rubalcava, Jose Alberto 443","94","1373","1797","01:18:56","05:48:28","04:59:40"
